name,rating,reviews,interviews,benefits,Higher_rate_for,lower_rate_for
Whitehat jr,3.5,2.8k,282,973,"Job Security, Promotions / Appraisal, Company Culture",
Abbott Healthcare,4.1,2.8k,104,380,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Subros,3.9,2.7k,112,410,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Team Lease,3.9,2.7k,130,225,Promotions / Appraisal,
Ford Motor,4.4,2.7k,84,398,"Company Culture, Work Life Balance, Salary & Benefits",
VE Commercial Vehicles,4.0,2.7k,141,373,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Indian Oil Corporation,4.4,2.7k,199,309,"Company Culture, Work Life Balance, Job Security",
Cgi Group,4.1,2.7k,166,415,"Job Security, Company Culture, Work Life Balance",
Automatic Data Processing (ADP),4.1,2.7k,146,476,"Job Security, Company Culture, Work Life Balance",
Tata Capital,4.2,2.7k,102,108,"Job Security, Company Culture, Skill Development / Learning",
Bharat Electronics,4.1,2.7k,144,326,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
American Express,4.3,2.7k,206,448,"Company Culture, Work Life Balance, Job Security",
Standard Chartered Bank,3.9,2.7k,121,314,Job Security,Promotions / Appraisal
Alembic Pharmaceuticals,4.0,2.6k,155,398,"Salary & Benefits, Work Life Balance",
UnitedHealth,4.1,2.6k,65,437,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
R1 RCM,3.9,2.6k,185,370,"Job Security, Company Culture, Work Life Balance",
Access Healthcare,4.0,2.6k,137,282,"Job Security, Company Culture, Work Life Balance",
Pidilite Industries,4.4,2.6k,133,368,"Job Security, Company Culture, Work Life Balance",
Publicis Sapient,3.6,2.6k,305,413,"Promotions / Appraisal, Job Security, Work Satisfaction",
Alkem Laboratories,3.8,2.6k,114,348,Job Security,
